	SampleID	Compartment	Cultivar	Site	Group	Type	Age	Phylum2	RA
200	RG28D4	Endosphere	Stipa grandis	GE	R.G28D	dominant	28	BRC1	0.000120035
205	RG36D1	Endosphere	Stipa grandis	GE	R.G36D	non-d	36	BRC1	0.000203285
206	RG36D2	Endosphere	Stipa grandis	GE	R.G36D	non-d	36	BRC1	4.10E-05
207	RG36D3	Endosphere	Stipa grandis	GE	R.G36D	non-d	36	BRC1	0.000197734
208	RG36D4	Endosphere	Stipa grandis	GE	R.G36D	non-d	36	BRC1	0.000193568
217	RG5Z1	Endosphere	Stipa grandis	GE	R.G5Z	non-d	5	BRC1	0.000137191
218	RG5Z2	Endosphere	Stipa grandis	GE	R.G5Z	non-d	5	BRC1	6.80E-05
219	RG5Z3	Endosphere	Stipa grandis	GE	R.G5Z	non-d	5	BRC1	0.000136586
220	RG5Z4	Endosphere	Stipa grandis	GE	R.G5Z	non-d	5	BRC1	8.55E-05
229	RJG15D1	Rhizosphere	Stipa grandis	GE	RJ.G15D	dominant	15	BRC1	0.000146843
230	RJG15D2	Rhizosphere	Stipa grandis	GE	RJ.G15D	dominant	15	BRC1	0.000146945
231	RJG15D3	Rhizosphere	Stipa grandis	GE	RJ.G15D	dominant	15	BRC1	0.000132973
232	RJG15D4	Rhizosphere	Stipa grandis	GE	RJ.G15D	dominant	15	BRC1	0.000160406
233	RJG28D1	Rhizosphere	Stipa grandis	GE	RJ.G28D	dominant	28	BRC1	2.66E-05
234	RJG28D2	Rhizosphere	Stipa grandis	GE	RJ.G28D	dominant	28	BRC1	0.000133494
235	RJG28D3	Rhizosphere	Stipa grandis	GE	RJ.G28D	dominant	28	BRC1	1.24E-05
236	RJG28D4	Rhizosphere	Stipa grandis	GE	RJ.G28D	dominant	28	BRC1	0.000187221
241	RJG36D1	Rhizosphere	Stipa grandis	GE	RJ.G36D	non-d	36	BRC1	0.000132109
242	RJG36D2	Rhizosphere	Stipa grandis	GE	RJ.G36D	non-d	36	BRC1	1.35E-05
243	RJG36D3	Rhizosphere	Stipa grandis	GE	RJ.G36D	non-d	36	BRC1	6.66E-05
244	RJG36D4	Rhizosphere	Stipa grandis	GE	RJ.G36D	non-d	36	BRC1	5.33E-05
253	RJG5D1	Rhizosphere	Stipa grandis	GE	RJ.G5D	non-d	5	BRC1	3.98E-05
254	RJG5D2	Rhizosphere	Stipa grandis	GE	RJ.G5D	non-d	5	BRC1	5.32E-05
255	RJG5D3	Rhizosphere	Stipa grandis	GE	RJ.G5D	non-d	5	BRC1	4.01E-05
256	RJG5D4	Rhizosphere	Stipa grandis	GE	RJ.G5D	non-d	5	BRC1	6.65E-05
257	G01	Soil	Soil	GE	G0	Soil	0	Fibrobacteres	0.000646786
258	G02	Soil	Soil	GE	G0	Soil	0	Fibrobacteres	0.000355483
259	G03	Soil	Soil	GE	G0	Soil	0	Fibrobacteres	0.000281484
260	G04	Soil	Soil	GE	G0	Soil	0	Fibrobacteres	0.000412399
261	G151	Soil	Soil	GE	G15	Soil	15	Fibrobacteres	0.000176813
262	G152	Soil	Soil	GE	G15	Soil	15	Fibrobacteres	8.09E-05
263	G153	Soil	Soil	GE	G15	Soil	15	Fibrobacteres	0.000273261
264	G154	Soil	Soil	GE	G15	Soil	15	Fibrobacteres	0.000134268
265	G281	Soil	Soil	GE	G28	Soil	28	Fibrobacteres	0.00045061
266	G282	Soil	Soil	GE	G28	Soil	28	Fibrobacteres	0.000546344
267	G283	Soil	Soil	GE	G28	Soil	28	Fibrobacteres	0.00038945
268	G284	Soil	Soil	GE	G28	Soil	28	Fibrobacteres	0.000432877
269	G361	Soil	Soil	GE	G36	Soil	36	Fibrobacteres	5.38E-05
270	G362	Soil	Soil	GE	G36	Soil	36	Fibrobacteres	5.08E-05
271	G363	Soil	Soil	GE	G36	Soil	36	Fibrobacteres	0.000205939
272	G364	Soil	Soil	GE	G36	Soil	36	Fibrobacteres	4.20E-05
273	G51	Soil	Soil	GE	G5	Soil	5	Fibrobacteres	0.000128495
274	G52	Soil	Soil	GE	G5	Soil	5	Fibrobacteres	9.47E-05
275	G53	Soil	Soil	GE	G5	Soil	5	Fibrobacteres	0.000727361
276	G54	Soil	Soil	GE	G5	Soil	5	Fibrobacteres	0.000174687
285	RBG15D1	Rhizoplane	Stipa grandis	GE	RB.G15D	dominant	15	Fibrobacteres	0.000118665
286	RBG15D2	Rhizoplane	Stipa grandis	GE	RB.G15D	dominant	15	Fibrobacteres	3.95E-05
287	RBG15D3	Rhizoplane	Stipa grandis	GE	RB.G15D	dominant	15	Fibrobacteres	7.98E-05
288	RBG15D4	Rhizoplane	Stipa grandis	GE	RB.G15D	dominant	15	Fibrobacteres	3.96E-05
289	RBG28D1	Rhizoplane	Stipa grandis	GE	RB.G28D	dominant	28	Fibrobacteres	0.000133565
290	RBG28D2	Rhizoplane	Stipa grandis	GE	RB.G28D	dominant	28	Fibrobacteres	0.000133424
291	RBG28D3	Rhizoplane	Stipa grandis	GE	RB.G28D	dominant	28	Fibrobacteres	0.000133495
292	RBG28D4	Rhizoplane	Stipa grandis	GE	RB.G28D	dominant	28	Fibrobacteres	0.000159167
