	SampleID	Compartment	Cultivar	Site	Group	Type	Age	Phylum2	RA
186	L252	Soil	Soil	AL	L25	NA	25	BRC1	9.65E-05
187	L253	Soil	Soil	AL	L25	NA	25	BRC1	0.000150907
188	L254	Soil	Soil	AL	L25	NA	25	BRC1	8.62E-05
189	L401	Soil	Soil	AL	L40	NA	40	BRC1	0.000107512
190	L402	Soil	Soil	AL	L40	NA	40	BRC1	0.000160981
191	L403	Soil	Soil	AL	L40	NA	40	BRC1	0.000108086
192	L404	Soil	Soil	AL	L40	NA	40	BRC1	0.000134769
197	RBL15S1	Rhizoplane	Hippophae rhamnoides	AL	RB.L15S	NA	15	BRC1	0.000119871
198	RBL15S2	Rhizoplane	Hippophae rhamnoides	AL	RB.L15S	NA	15	BRC1	0.000148878
199	RBL15S3	Rhizoplane	Hippophae rhamnoides	AL	RB.L15S	NA	15	BRC1	2.69E-05
200	RBL15S4	Rhizoplane	Hippophae rhamnoides	AL	RB.L15S	NA	15	BRC1	8.75E-05
205	RBL25S1	Rhizoplane	Hippophae rhamnoides	AL	RB.L25S	NA	25	BRC1	4.00E-05
206	RBL25S2	Rhizoplane	Hippophae rhamnoides	AL	RB.L25S	NA	25	BRC1	5.30E-05
207	RBL25S3	Rhizoplane	Hippophae rhamnoides	AL	RB.L25S	NA	25	BRC1	3.99E-05
208	RBL25S4	Rhizoplane	Hippophae rhamnoides	AL	RB.L25S	NA	25	BRC1	5.30E-05
213	RBL40S1	Rhizoplane	Hippophae rhamnoides	AL	RB.L40S	NA	40	BRC1	0.000158608
214	RBL40S2	Rhizoplane	Hippophae rhamnoides	AL	RB.L40S	NA	40	BRC1	7.94E-05
215	RBL40S3	Rhizoplane	Hippophae rhamnoides	AL	RB.L40S	NA	40	BRC1	2.65E-05
216	RBL40S4	Rhizoplane	Hippophae rhamnoides	AL	RB.L40S	NA	40	BRC1	0.000132571
221	RJL15S1	Rhizosphere	Hippophae rhamnoides	AL	RJ.L15S	NA	15	BRC1	0.000105864
222	RJL15S2	Rhizosphere	Hippophae rhamnoides	AL	RJ.L15S	NA	15	BRC1	0.000134588
223	RJL15S3	Rhizosphere	Hippophae rhamnoides	AL	RJ.L15S	NA	15	BRC1	0.000185731
