	SampleID	Compartment	Cultivar	Site	Group	Type	Age	Phylum2	RA
204	RBL25B4	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L25B	NA	25	BRC1	0.000120726
209	RBL40B1	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L40B	NA	40	BRC1	0.000146665
210	RBL40B2	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L40B	NA	40	BRC1	0.000133476
211	RBL40B3	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L40B	NA	40	BRC1	0.000185837
212	RBL40B4	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L40B	NA	40	BRC1	0.000175232
217	RJL15B1	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L15B	NA	15	BRC1	0.000309877
218	RJL15B2	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L15B	NA	15	BRC1	8.01E-05
219	RJL15B3	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L15B	NA	15	BRC1	0.000119235
220	RJL15B4	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L15B	NA	15	BRC1	0.000188947
225	RJL25B1	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L25B	NA	25	BRC1	9.43E-05
226	RJL25B2	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L25B	NA	25	BRC1	0.000107355
227	RJL25B3	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L25B	NA	25	BRC1	0.000107501
228	RJL25B4	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L25B	NA	25	BRC1	0.000106735
233	RJL40B1	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L40B	NA	40	BRC1	0.000107177
234	RJL40B2	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L40B	NA	40	BRC1	0.000120335
235	RJL40B3	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L40B	NA	40	BRC1	6.64E-05
236	RJL40B4	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L40B	NA	40	BRC1	9.38E-05
241	RL15B1	Endosphere	Bothriochloa ischaemum 	AL	R.L15B	NA	15	BRC1	8.61E-05
242	RL15B2	Endosphere	Bothriochloa ischaemum 	AL	R.L15B	NA	15	BRC1	0.00023288
243	RL15B3	Endosphere	Bothriochloa ischaemum 	AL	R.L15B	NA	15	BRC1	9.50E-05
244	RL15B4	Endosphere	Bothriochloa ischaemum 	AL	R.L15B	NA	15	BRC1	0.000177977
249	RL25B1	Endosphere	Bothriochloa ischaemum 	AL	R.L25B	NA	25	BRC1	4.81E-05
250	RL25B2	Endosphere	Bothriochloa ischaemum 	AL	R.L25B	NA	25	BRC1	5.47E-05
251	RL25B3	Endosphere	Bothriochloa ischaemum 	AL	R.L25B	NA	25	BRC1	7.15E-05
252	RL25B4	Endosphere	Bothriochloa ischaemum 	AL	R.L25B	NA	25	BRC1	0.000120424
257	RL40B1	Endosphere	Bothriochloa ischaemum 	AL	R.L40B	NA	40	BRC1	4.24E-05
258	RL40B2	Endosphere	Bothriochloa ischaemum 	AL	R.L40B	NA	40	BRC1	0.000117794
259	RL40B3	Endosphere	Bothriochloa ischaemum 	AL	R.L40B	NA	40	BRC1	0.000171116
260	RL40B4	Endosphere	Bothriochloa ischaemum 	AL	R.L40B	NA	40	BRC1	0.000122393
265	L151	Soil	Soil	AL	L15	NA	15	Latescibacteria	0.004681839
266	L152	Soil	Soil	AL	L15	NA	15	Latescibacteria	0.003587346
267	L153	Soil	Soil	AL	L15	NA	15	Latescibacteria	0.004214156
268	L154	Soil	Soil	AL	L15	NA	15	Latescibacteria	0.00400137
269	L21	Soil	Soil	AL	L2	NA	2	Latescibacteria	0.006603061
270	L22	Soil	Soil	AL	L2	NA	2	Latescibacteria	0.007234918
271	L23	Soil	Soil	AL	L2	NA	2	Latescibacteria	0.008237692
272	L24	Soil	Soil	AL	L2	NA	2	Latescibacteria	0.000583273
273	L251	Soil	Soil	AL	L25	NA	25	Latescibacteria	0.009031611
274	L252	Soil	Soil	AL	L25	NA	25	Latescibacteria	0.006328067
275	L253	Soil	Soil	AL	L25	NA	25	Latescibacteria	0.004149952
276	L254	Soil	Soil	AL	L25	NA	25	Latescibacteria	0.006707822
277	L401	Soil	Soil	AL	L40	NA	40	Latescibacteria	0.005039645
278	L402	Soil	Soil	AL	L40	NA	40	Latescibacteria	0.002562279
279	L403	Soil	Soil	AL	L40	NA	40	Latescibacteria	0.003337161
280	L404	Soil	Soil	AL	L40	NA	40	Latescibacteria	0.002129351
281	RBL15B1	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L15B	NA	15	Latescibacteria	0.000901713
282	RBL15B2	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L15B	NA	15	Latescibacteria	0.000227839
283	RBL15B3	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L15B	NA	15	Latescibacteria	0.000187316
284	RBL15B4	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L15B	NA	15	Latescibacteria	0.000269038
289	RBL25B1	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L25B	NA	25	Latescibacteria	0.001551528
290	RBL25B2	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L25B	NA	25	Latescibacteria	0.000406185
291	RBL25B3	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L25B	NA	25	Latescibacteria	0.00063677
292	RBL25B4	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L25B	NA	25	Latescibacteria	0.000563388
297	RBL40B1	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L40B	NA	40	Latescibacteria	0.000999987
298	RBL40B2	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L40B	NA	40	Latescibacteria	0.001468233
299	RBL40B3	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L40B	NA	40	Latescibacteria	0.000703524
300	RBL40B4	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L40B	NA	40	Latescibacteria	0.001038877
305	RJL15B1	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L15B	NA	15	Latescibacteria	0.000943104
306	RJL15B2	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L15B	NA	15	Latescibacteria	0.000680981
307	RJL15B3	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L15B	NA	15	Latescibacteria	0.000185477
308	RJL15B4	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L15B	NA	15	Latescibacteria	0.000188947
313	RJL25B1	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L25B	NA	25	Latescibacteria	0.001105226
314	RJL25B2	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L25B	NA	25	Latescibacteria	0.000429421
315	RJL25B3	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L25B	NA	25	Latescibacteria	0.000765944
316	RJL25B4	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L25B	NA	25	Latescibacteria	0.000653752
321	RJL40B1	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L40B	NA	40	Latescibacteria	0.000589473
322	RJL40B2	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L40B	NA	40	Latescibacteria	0.00224626
323	RJL40B3	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L40B	NA	40	Latescibacteria	0.00059761
324	RJL40B4	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L40B	NA	40	Latescibacteria	0.001085456
329	RL15B1	Endosphere	Bothriochloa ischaemum 	AL	R.L15B	NA	15	Latescibacteria	0.000143478
330	RL15B2	Endosphere	Bothriochloa ischaemum 	AL	R.L15B	NA	15	Latescibacteria	1.37E-05
331	RL15B3	Endosphere	Bothriochloa ischaemum 	AL	R.L15B	NA	15	Latescibacteria	7.86E-05
332	RL15B4	Endosphere	Bothriochloa ischaemum 	AL	R.L15B	NA	15	Latescibacteria	1.37E-05
337	RL25B1	Endosphere	Bothriochloa ischaemum 	AL	R.L25B	NA	25	Latescibacteria	0.000504638
338	RL25B2	Endosphere	Bothriochloa ischaemum 	AL	R.L25B	NA	25	Latescibacteria	0.000103069
339	RL25B3	Endosphere	Bothriochloa ischaemum 	AL	R.L25B	NA	25	Latescibacteria	0.000160938
340	RL25B4	Endosphere	Bothriochloa ischaemum 	AL	R.L25B	NA	25	Latescibacteria	4.52E-05
345	RL40B1	Endosphere	Bothriochloa ischaemum 	AL	R.L40B	NA	40	Latescibacteria	7.07E-05
346	RL40B2	Endosphere	Bothriochloa ischaemum 	AL	R.L40B	NA	40	Latescibacteria	0.000132519
347	RL40B3	Endosphere	Bothriochloa ischaemum 	AL	R.L40B	NA	40	Latescibacteria	7.78E-05
348	RL40B4	Endosphere	Bothriochloa ischaemum 	AL	R.L40B	NA	40	Latescibacteria	0.0003427
353	L151	Soil	Soil	AL	L15	NA	15	Nitrospirae	0.001967729
354	L152	Soil	Soil	AL	L15	NA	15	Nitrospirae	0.001970323
355	L153	Soil	Soil	AL	L15	NA	15	Nitrospirae	0.001614514
356	L154	Soil	Soil	AL	L15	NA	15	Nitrospirae	0.001849949
357	L21	Soil	Soil	AL	L2	NA	2	Nitrospirae	0.012310792
358	L22	Soil	Soil	AL	L2	NA	2	Nitrospirae	0.010957332
359	L23	Soil	Soil	AL	L2	NA	2	Nitrospirae	0.010918433
360	L24	Soil	Soil	AL	L2	NA	2	Nitrospirae	0.001010058
361	L251	Soil	Soil	AL	L25	NA	25	Nitrospirae	0.002047708
362	L252	Soil	Soil	AL	L25	NA	25	Nitrospirae	0.003777539
363	L253	Soil	Soil	AL	L25	NA	25	Nitrospirae	0.002276186
364	L254	Soil	Soil	AL	L25	NA	25	Nitrospirae	0.002827976
365	L401	Soil	Soil	AL	L40	NA	40	Nitrospirae	0.005563768
366	L402	Soil	Soil	AL	L40	NA	40	Nitrospirae	0.009310063
367	L403	Soil	Soil	AL	L40	NA	40	Nitrospirae	0.005377288
368	L404	Soil	Soil	AL	L40	NA	40	Nitrospirae	0.004029595
369	RBL15B1	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L15B	NA	15	Nitrospirae	0.000471044
370	RBL15B2	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L15B	NA	15	Nitrospirae	0.000428874
371	RBL15B3	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L15B	NA	15	Nitrospirae	0.000321113
372	RBL15B4	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L15B	NA	15	Nitrospirae	0.001183766
377	RBL25B1	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L25B	NA	25	Nitrospirae	0.001778907
378	RBL25B2	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L25B	NA	25	Nitrospirae	0.000392645
379	RBL25B3	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L25B	NA	25	Nitrospirae	0.001395475
380	RBL25B4	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L25B	NA	25	Nitrospirae	0.000845082
385	RBL40B1	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L40B	NA	40	Nitrospirae	0.001933308
386	RBL40B2	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L40B	NA	40	Nitrospirae	0.00148158
387	RBL40B3	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L40B	NA	40	Nitrospirae	0.001818544
388	RBL40B4	Rhizoplane	Bothriochloa ischaemum 	AL	RB.L40B	NA	40	Nitrospirae	0.001214109
393	RJL15B1	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L15B	NA	15	Nitrospirae	0.000309877
394	RJL15B2	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L15B	NA	15	Nitrospirae	0.00046734
395	RJL15B3	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L15B	NA	15	Nitrospirae	0.000304712
396	RJL15B4	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L15B	NA	15	Nitrospirae	0.000985222
401	RJL25B1	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L25B	NA	25	Nitrospirae	0.000323481
402	RJL25B2	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L25B	NA	25	Nitrospirae	0.000389162
403	RJL25B3	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L25B	NA	25	Nitrospirae	0.000765944
404	RJL25B4	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L25B	NA	25	Nitrospirae	0.000587042
409	RJL40B1	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L40B	NA	40	Nitrospirae	0.001862197
410	RJL40B2	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L40B	NA	40	Nitrospirae	0.002286371
411	RJL40B3	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L40B	NA	40	Nitrospirae	0.002138114
412	RJL40B4	Rhizosphere	Bothriochloa ischaemum 	AL	RJ.L40B	NA	40	Nitrospirae	0.002077108
417	RL15B1	Endosphere	Bothriochloa ischaemum 	AL	R.L15B	NA	15	Nitrospirae	8.61E-05
418	RL15B2	Endosphere	Bothriochloa ischaemum 	AL	R.L15B	NA	15	Nitrospirae	0.000123289
419	RL15B3	Endosphere	Bothriochloa ischaemum 	AL	R.L15B	NA	15	Nitrospirae	2.71E-05
420	RL15B4	Endosphere	Bothriochloa ischaemum 	AL	R.L15B	NA	15	Nitrospirae	0.000123215
425	RL25B1	Endosphere	Bothriochloa ischaemum 	AL	R.L25B	NA	25	Nitrospirae	0.000456577
426	RL25B2	Endosphere	Bothriochloa ischaemum 	AL	R.L25B	NA	25	Nitrospirae	2.55E-05
427	RL25B3	Endosphere	Bothriochloa ischaemum 	AL	R.L25B	NA	25	Nitrospirae	3.58E-05
428	RL25B4	Endosphere	Bothriochloa ischaemum 	AL	R.L25B	NA	25	Nitrospirae	1.51E-05
433	RL40B1	Endosphere	Bothriochloa ischaemum 	AL	R.L40B	NA	40	Nitrospirae	0.000141475
434	RL40B2	Endosphere	Bothriochloa ischaemum 	AL	R.L40B	NA	40	Nitrospirae	0.000427004
435	RL40B3	Endosphere	Bothriochloa ischaemum 	AL	R.L40B	NA	40	Nitrospirae	0.000404455
