	SampleID	Compartment	Cultivar	Site	Group	Type	Age	Phylum2	RA
215	RG5C3	Endosphere	Stipa bungeana	GE	R.G5C	dominant	5	BRC1	0.00010397
216	RG5C4	Endosphere	Stipa bungeana	GE	R.G5C	dominant	5	BRC1	0.000121855
221	RJG0C1	Rhizosphere	Stipa bungeana	GE	RJ.G0C	dominant	0	BRC1	0.000174111
222	RJG0C2	Rhizosphere	Stipa bungeana	GE	RJ.G0C	dominant	0	BRC1	5.29E-05
223	RJG0C3	Rhizosphere	Stipa bungeana	GE	RJ.G0C	dominant	0	BRC1	3.98E-05
224	RJG0C4	Rhizosphere	Stipa bungeana	GE	RJ.G0C	dominant	0	BRC1	9.35E-05
225	RJG15C1	Rhizosphere	Stipa bungeana	GE	RJ.G15C	non-d	15	BRC1	0.000227769
226	RJG15C2	Rhizosphere	Stipa bungeana	GE	RJ.G15C	non-d	15	BRC1	6.69E-05
227	RJG15C3	Rhizosphere	Stipa bungeana	GE	RJ.G15C	non-d	15	BRC1	0.00010667
228	RJG15C4	Rhizosphere	Stipa bungeana	GE	RJ.G15C	non-d	15	BRC1	0.000120297
249	RJG5C1	Rhizosphere	Stipa bungeana	GE	RJ.G5C	dominant	5	BRC1	5.32E-05
250	RJG5C2	Rhizosphere	Stipa bungeana	GE	RJ.G5C	dominant	5	BRC1	0.000106966
251	RJG5C3	Rhizosphere	Stipa bungeana	GE	RJ.G5C	dominant	5	BRC1	3.65E-05
252	RJG5C4	Rhizosphere	Stipa bungeana	GE	RJ.G5C	dominant	5	BRC1	9.40E-05
257	G01	Soil	Soil	GE	G0	Soil	0	Fibrobacteres	0.000646786
258	G02	Soil	Soil	GE	G0	Soil	0	Fibrobacteres	0.000355483
259	G03	Soil	Soil	GE	G0	Soil	0	Fibrobacteres	0.000281484
260	G04	Soil	Soil	GE	G0	Soil	0	Fibrobacteres	0.000412399
261	G151	Soil	Soil	GE	G15	Soil	15	Fibrobacteres	0.000176813
262	G152	Soil	Soil	GE	G15	Soil	15	Fibrobacteres	8.09E-05
263	G153	Soil	Soil	GE	G15	Soil	15	Fibrobacteres	0.000273261
264	G154	Soil	Soil	GE	G15	Soil	15	Fibrobacteres	0.000134268
265	G281	Soil	Soil	GE	G28	Soil	28	Fibrobacteres	0.00045061
266	G282	Soil	Soil	GE	G28	Soil	28	Fibrobacteres	0.000546344
267	G283	Soil	Soil	GE	G28	Soil	28	Fibrobacteres	0.00038945
268	G284	Soil	Soil	GE	G28	Soil	28	Fibrobacteres	0.000432877
269	G361	Soil	Soil	GE	G36	Soil	36	Fibrobacteres	5.38E-05
270	G362	Soil	Soil	GE	G36	Soil	36	Fibrobacteres	5.08E-05
