"","SampleID","Compartment","Cultivar","Site","Age","Group","Group0"
"121","RJG5C1","Rhizosphere","Stipa bungeana","GE",5,"Rhizosphere_Stipa bungeana","RJ.G5C"
"122","RJG5C2","Rhizosphere","Stipa bungeana","GE",5,"Rhizosphere_Stipa bungeana","RJ.G5C"
"123","RJG5C3","Rhizosphere","Stipa bungeana","GE",5,"Rhizosphere_Stipa bungeana","RJ.G5C"
"124","RJG5C4","Rhizosphere","Stipa bungeana","GE",5,"Rhizosphere_Stipa bungeana","RJ.G5C"
"125","RJG5D1","Rhizosphere","Stipa grandis","GE",5,"Rhizosphere_Stipa grandis","RJ.G5D"
"126","RJG5D2","Rhizosphere","Stipa grandis","GE",5,"Rhizosphere_Stipa grandis","RJ.G5D"
"127","RJG5D3","Rhizosphere","Stipa grandis","GE",5,"Rhizosphere_Stipa grandis","RJ.G5D"
"128","RJG5D4","Rhizosphere","Stipa grandis","GE",5,"Rhizosphere_Stipa grandis","RJ.G5D"
"129","L151","Soil","Soil","AL",15,"Soil_Soil","L15"
"130","L152","Soil","Soil","AL",15,"Soil_Soil","L15"
"131","L153","Soil","Soil","AL",15,"Soil_Soil","L15"
"132","L154","Soil","Soil","AL",15,"Soil_Soil","L15"
"133","L21","Soil","Soil","AL",2,"Soil_Soil","L2"
"134","L22","Soil","Soil","AL",2,"Soil_Soil","L2"
"135","L23","Soil","Soil","AL",2,"Soil_Soil","L2"
"136","L24","Soil","Soil","AL",2,"Soil_Soil","L2"
"137","L251","Soil","Soil","AL",25,"Soil_Soil","L25"
"138","L252","Soil","Soil","AL",25,"Soil_Soil","L25"
"139","L253","Soil","Soil","AL",25,"Soil_Soil","L25"
"140","L254","Soil","Soil","AL",25,"Soil_Soil","L25"
"141","L401","Soil","Soil","AL",40,"Soil_Soil","L40"
"142","L402","Soil","Soil","AL",40,"Soil_Soil","L40"
"143","L403","Soil","Soil","AL",40,"Soil_Soil","L40"
"144","L404","Soil","Soil","AL",40,"Soil_Soil","L40"
"145","RBL15B1","Rhizoplane","Bothriochloa ischaemum ","AL",15,"Rhizoplane_Bothriochloa ischaemum ","RB.L15B"
"146","RBL15B2","Rhizoplane","Bothriochloa ischaemum ","AL",15,"Rhizoplane_Bothriochloa ischaemum ","RB.L15B"
"147","RBL15B3","Rhizoplane","Bothriochloa ischaemum ","AL",15,"Rhizoplane_Bothriochloa ischaemum ","RB.L15B"
"148","RBL15B4","Rhizoplane","Bothriochloa ischaemum ","AL",15,"Rhizoplane_Bothriochloa ischaemum ","RB.L15B"
"149","RBL15S1","Rhizoplane","Hippophae rhamnoides","AL",15,"Rhizoplane_Hippophae rhamnoides","RB.L15S"
"150","RBL15S2","Rhizoplane","Hippophae rhamnoides","AL",15,"Rhizoplane_Hippophae rhamnoides","RB.L15S"
"151","RBL15S3","Rhizoplane","Hippophae rhamnoides","AL",15,"Rhizoplane_Hippophae rhamnoides","RB.L15S"
"152","RBL15S4","Rhizoplane","Hippophae rhamnoides","AL",15,"Rhizoplane_Hippophae rhamnoides","RB.L15S"
"153","RBL25B1","Rhizoplane","Bothriochloa ischaemum ","AL",25,"Rhizoplane_Bothriochloa ischaemum ","RB.L25B"
"154","RBL25B2","Rhizoplane","Bothriochloa ischaemum ","AL",25,"Rhizoplane_Bothriochloa ischaemum ","RB.L25B"
"155","RBL25B3","Rhizoplane","Bothriochloa ischaemum ","AL",25,"Rhizoplane_Bothriochloa ischaemum ","RB.L25B"
"156","RBL25B4","Rhizoplane","Bothriochloa ischaemum ","AL",25,"Rhizoplane_Bothriochloa ischaemum ","RB.L25B"
"157","RBL25S1","Rhizoplane","Hippophae rhamnoides","AL",25,"Rhizoplane_Hippophae rhamnoides","RB.L25S"
"158","RBL25S2","Rhizoplane","Hippophae rhamnoides","AL",25,"Rhizoplane_Hippophae rhamnoides","RB.L25S"
"159","RBL25S3","Rhizoplane","Hippophae rhamnoides","AL",25,"Rhizoplane_Hippophae rhamnoides","RB.L25S"
"160","RBL25S4","Rhizoplane","Hippophae rhamnoides","AL",25,"Rhizoplane_Hippophae rhamnoides","RB.L25S"
"161","RBL40B1","Rhizoplane","Bothriochloa ischaemum ","AL",40,"Rhizoplane_Bothriochloa ischaemum ","RB.L40B"
"162","RBL40B2","Rhizoplane","Bothriochloa ischaemum ","AL",40,"Rhizoplane_Bothriochloa ischaemum ","RB.L40B"
"163","RBL40B3","Rhizoplane","Bothriochloa ischaemum ","AL",40,"Rhizoplane_Bothriochloa ischaemum ","RB.L40B"
"164","RBL40B4","Rhizoplane","Bothriochloa ischaemum ","AL",40,"Rhizoplane_Bothriochloa ischaemum ","RB.L40B"
"165","RBL40S1","Rhizoplane","Hippophae rhamnoides","AL",40,"Rhizoplane_Hippophae rhamnoides","RB.L40S"
"166","RBL40S2","Rhizoplane","Hippophae rhamnoides","AL",40,"Rhizoplane_Hippophae rhamnoides","RB.L40S"
"167","RBL40S3","Rhizoplane","Hippophae rhamnoides","AL",40,"Rhizoplane_Hippophae rhamnoides","RB.L40S"
"168","RBL40S4","Rhizoplane","Hippophae rhamnoides","AL",40,"Rhizoplane_Hippophae rhamnoides","RB.L40S"
"169","RJL15B1","Rhizosphere","Bothriochloa ischaemum ","AL",15,"Rhizosphere_Bothriochloa ischaemum ","RJ.L15B"
"170","RJL15B2","Rhizosphere","Bothriochloa ischaemum ","AL",15,"Rhizosphere_Bothriochloa ischaemum ","RJ.L15B"
"171","RJL15B3","Rhizosphere","Bothriochloa ischaemum ","AL",15,"Rhizosphere_Bothriochloa ischaemum ","RJ.L15B"
"172","RJL15B4","Rhizosphere","Bothriochloa ischaemum ","AL",15,"Rhizosphere_Bothriochloa ischaemum ","RJ.L15B"
"173","RJL15S1","Rhizosphere","Hippophae rhamnoides","AL",15,"Rhizosphere_Hippophae rhamnoides","RJ.L15S"
"174","RJL15S2","Rhizosphere","Hippophae rhamnoides","AL",15,"Rhizosphere_Hippophae rhamnoides","RJ.L15S"
"175","RJL15S3","Rhizosphere","Hippophae rhamnoides","AL",15,"Rhizosphere_Hippophae rhamnoides","RJ.L15S"
"176","RJL15S4","Rhizosphere","Hippophae rhamnoides","AL",15,"Rhizosphere_Hippophae rhamnoides","RJ.L15S"
"177","RJL25B1","Rhizosphere","Bothriochloa ischaemum ","AL",25,"Rhizosphere_Bothriochloa ischaemum ","RJ.L25B"
"178","RJL25B2","Rhizosphere","Bothriochloa ischaemum ","AL",25,"Rhizosphere_Bothriochloa ischaemum ","RJ.L25B"
"179","RJL25B3","Rhizosphere","Bothriochloa ischaemum ","AL",25,"Rhizosphere_Bothriochloa ischaemum ","RJ.L25B"
"180","RJL25B4","Rhizosphere","Bothriochloa ischaemum ","AL",25,"Rhizosphere_Bothriochloa ischaemum ","RJ.L25B"
"181","RJL25S1","Rhizosphere","Hippophae rhamnoides","AL",25,"Rhizosphere_Hippophae rhamnoides","RJ.L25S"
"182","RJL25S2","Rhizosphere","Hippophae rhamnoides","AL",25,"Rhizosphere_Hippophae rhamnoides","RJ.L25S"
"183","RJL25S3","Rhizosphere","Hippophae rhamnoides","AL",25,"Rhizosphere_Hippophae rhamnoides","RJ.L25S"
"184","RJL25S4","Rhizosphere","Hippophae rhamnoides","AL",25,"Rhizosphere_Hippophae rhamnoides","RJ.L25S"
"185","RJL40B1","Rhizosphere","Bothriochloa ischaemum ","AL",40,"Rhizosphere_Bothriochloa ischaemum ","RJ.L40B"
"186","RJL40B2","Rhizosphere","Bothriochloa ischaemum ","AL",40,"Rhizosphere_Bothriochloa ischaemum ","RJ.L40B"
"187","RJL40B3","Rhizosphere","Bothriochloa ischaemum ","AL",40,"Rhizosphere_Bothriochloa ischaemum ","RJ.L40B"
"188","RJL40B4","Rhizosphere","Bothriochloa ischaemum ","AL",40,"Rhizosphere_Bothriochloa ischaemum ","RJ.L40B"
"189","RJL40S1","Rhizosphere","Hippophae rhamnoides","AL",40,"Rhizosphere_Hippophae rhamnoides","RJ.L40S"
"190","RJL40S2","Rhizosphere","Hippophae rhamnoides","AL",40,"Rhizosphere_Hippophae rhamnoides","RJ.L40S"
"191","RJL40S3","Rhizosphere","Hippophae rhamnoides","AL",40,"Rhizosphere_Hippophae rhamnoides","RJ.L40S"
"192","RJL40S4","Rhizosphere","Hippophae rhamnoides","AL",40,"Rhizosphere_Hippophae rhamnoides","RJ.L40S"
"193","RL15B1","Endosphere","Bothriochloa ischaemum ","AL",15,"Endosphere_Bothriochloa ischaemum ","R.L15B"
"194","RL15B2","Endosphere","Bothriochloa ischaemum ","AL",15,"Endosphere_Bothriochloa ischaemum ","R.L15B"
"195","RL15B3","Endosphere","Bothriochloa ischaemum ","AL",15,"Endosphere_Bothriochloa ischaemum ","R.L15B"
"196","RL15B4","Endosphere","Bothriochloa ischaemum ","AL",15,"Endosphere_Bothriochloa ischaemum ","R.L15B"
"197","RL15S1","Endosphere","Hippophae rhamnoides","AL",15,"Endosphere_Hippophae rhamnoides","R.L15S"
"198","RL15S2","Endosphere","Hippophae rhamnoides","AL",15,"Endosphere_Hippophae rhamnoides","R.L15S"
"199","RL15S3","Endosphere","Hippophae rhamnoides","AL",15,"Endosphere_Hippophae rhamnoides","R.L15S"
"200","RL15S4","Endosphere","Hippophae rhamnoides","AL",15,"Endosphere_Hippophae rhamnoides","R.L15S"
"201","RL25B1","Endosphere","Bothriochloa ischaemum ","AL",25,"Endosphere_Bothriochloa ischaemum ","R.L25B"
"202","RL25B2","Endosphere","Bothriochloa ischaemum ","AL",25,"Endosphere_Bothriochloa ischaemum ","R.L25B"
"203","RL25B3","Endosphere","Bothriochloa ischaemum ","AL",25,"Endosphere_Bothriochloa ischaemum ","R.L25B"
"204","RL25B4","Endosphere","Bothriochloa ischaemum ","AL",25,"Endosphere_Bothriochloa ischaemum ","R.L25B"
"205","RL25S1","Endosphere","Hippophae rhamnoides","AL",25,"Endosphere_Hippophae rhamnoides","R.L25S"
"206","RL25S2","Endosphere","Hippophae rhamnoides","AL",25,"Endosphere_Hippophae rhamnoides","R.L25S"
"207","RL25S3","Endosphere","Hippophae rhamnoides","AL",25,"Endosphere_Hippophae rhamnoides","R.L25S"
"208","RL25S4","Endosphere","Hippophae rhamnoides","AL",25,"Endosphere_Hippophae rhamnoides","R.L25S"
"209","RL40B1","Endosphere","Bothriochloa ischaemum ","AL",40,"Endosphere_Bothriochloa ischaemum ","R.L40B"
"210","RL40B2","Endosphere","Bothriochloa ischaemum ","AL",40,"Endosphere_Bothriochloa ischaemum ","R.L40B"
"211","RL40B3","Endosphere","Bothriochloa ischaemum ","AL",40,"Endosphere_Bothriochloa ischaemum ","R.L40B"
"212","RL40B4","Endosphere","Bothriochloa ischaemum ","AL",40,"Endosphere_Bothriochloa ischaemum ","R.L40B"
"213","RL40S1","Endosphere","Hippophae rhamnoides","AL",40,"Endosphere_Hippophae rhamnoides","R.L40S"
"214","RL40S2","Endosphere","Hippophae rhamnoides","AL",40,"Endosphere_Hippophae rhamnoides","R.L40S"
"215","RL40S3","Endosphere","Hippophae rhamnoides","AL",40,"Endosphere_Hippophae rhamnoides","R.L40S"
"216","RL40S4","Endosphere","Hippophae rhamnoides","AL",40,"Endosphere_Hippophae rhamnoides","R.L40S"
